txn_id,thread_id,latency_ms,retries
26,MongoDB TX-thread-26,738.5849952697754,0
35,MongoDB TX-thread-35,736.4630699157715,0
47,MongoDB TX-thread-47,754.8384666442871,0
38,MongoDB TX-thread-38,760.5478763580322,0
33,MongoDB TX-thread-33,765.5677795410156,0
29,MongoDB TX-thread-29,768.7420845031738,0
37,MongoDB TX-thread-37,765.5305862426758,0
27,MongoDB TX-thread-27,769.9258327484131,0
46,MongoDB TX-thread-46,761.1360549926758,0
24,MongoDB TX-thread-24,771.1336612701416,0
44,MongoDB TX-thread-44,763.2346153259277,0
40,MongoDB TX-thread-40,765.4619216918945,0
43,MongoDB TX-thread-43,785.508394241333,0
21,MongoDB TX-thread-21,859.78102684021,0
18,MongoDB TX-thread-18,1528.4702777862549,0
13,MongoDB TX-thread-13,1542.6678657531738,0
16,MongoDB TX-thread-16,1542.358636856079,0
39,MongoDB TX-thread-39,1533.8914394378662,0
19,MongoDB TX-thread-19,1543.7936782836914,0
61,MongoDB TX-thread-61,1525.3338813781738,0
28,MongoDB TX-thread-28,1542.5093173980713,0
32,MongoDB TX-thread-32,1543.5149669647217,0
56,MongoDB TX-thread-56,1532.6557159423828,0
25,MongoDB TX-thread-25,1546.980381011963,0
34,MongoDB TX-thread-34,1544.6643829345703,0
48,MongoDB TX-thread-48,1538.0420684814453,0
42,MongoDB TX-thread-42,1542.5846576690674,0
100,MongoDB TX-thread-100,1521.338701248169,0
30,MongoDB TX-thread-30,1547.0080375671387,0
41,MongoDB TX-thread-41,1543.6325073242188,0
31,MongoDB TX-thread-31,1548.05588722229,0
52,MongoDB TX-thread-52,1539.3850803375244,0
74,MongoDB TX-thread-74,1531.9197177886963,0
36,MongoDB TX-thread-36,1548.1784343719482,0
73,MongoDB TX-thread-73,1535.4697704315186,0
49,MongoDB TX-thread-49,1542.9010391235352,0
98,MongoDB TX-thread-98,1532.4161052703857,0
17,MongoDB TX-thread-17,1565.037488937378,0
66,MongoDB TX-thread-66,1552.6738166809082,0
11,MongoDB TX-thread-11,1577.4791240692139,0
53,MongoDB TX-thread-53,1566.9081211090088,0
63,MongoDB TX-thread-63,1565.9847259521484,0
14,MongoDB TX-thread-14,1587.120771408081,0
45,MongoDB TX-thread-45,1576.4491558074951,0
23,MongoDB TX-thread-23,1585.3796005249023,0
77,MongoDB TX-thread-77,1565.0906562805176,0
8,MongoDB TX-thread-8,1596.3735580444336,0
22,MongoDB TX-thread-22,1592.5755500793457,0
2,MongoDB TX-thread-2,1602.58150100708,0
7,MongoDB TX-thread-7,1599.7164249420166,0
99,MongoDB TX-thread-99,1564.6297931671143,0
20,MongoDB TX-thread-20,1594.8479175567627,0
88,MongoDB TX-thread-88,1568.8652992248535,0
4,MongoDB TX-thread-4,1603.6436557769775,0
83,MongoDB TX-thread-83,1586.1029624938965,0
89,MongoDB TX-thread-89,1583.6858749389648,0
69,MongoDB TX-thread-69,1591.2680625915527,0
58,MongoDB TX-thread-58,2476.790428161621,0
97,MongoDB TX-thread-97,2484.236240386963,0
76,MongoDB TX-thread-76,2492.9862022399902,0
57,MongoDB TX-thread-57,2500.119924545288,0
50,MongoDB TX-thread-50,2508.4991455078125,0
68,MongoDB TX-thread-68,2506.9260597229004,0
75,MongoDB TX-thread-75,2509.0153217315674,0
96,MongoDB TX-thread-96,2504.951238632202,0
91,MongoDB TX-thread-91,2510.6077194213867,0
79,MongoDB TX-thread-79,2518.3448791503906,0
86,MongoDB TX-thread-86,2516.009569168091,0
80,MongoDB TX-thread-80,2519.347667694092,0
55,MongoDB TX-thread-55,2528.7370681762695,0
51,MongoDB TX-thread-51,2534.4815254211426,0
59,MongoDB TX-thread-59,2531.3031673431396,0
65,MongoDB TX-thread-65,2529.2129516601562,0
85,MongoDB TX-thread-85,2523.033857345581,0
93,MongoDB TX-thread-93,2520.5790996551514,0
10,MongoDB TX-thread-10,2553.4491539001465,0
78,MongoDB TX-thread-78,2526.2017250061035,0
92,MongoDB TX-thread-92,2520.5790996551514,0
5,MongoDB TX-thread-5,2556.4918518066406,0
94,MongoDB TX-thread-94,2521.6188430786133,0
60,MongoDB TX-thread-60,2533.377170562744,0
82,MongoDB TX-thread-82,2525.1078605651855,0
90,MongoDB TX-thread-90,2522.690773010254,0
