txn_id,thread_id,latency_ms,retries
667,NoSQL-STM-thread-667,8944.237232208252,0
670,NoSQL-STM-thread-670,8944.589853286743,0
80,NoSQL-STM-thread-80,9129.306554794312,0
327,NoSQL-STM-thread-327,9041.115045547485,0
16,NoSQL-STM-thread-16,9146.52943611145,0
564,NoSQL-STM-thread-564,8979.608535766602,0
651,NoSQL-STM-thread-651,8957.237243652344,0
492,NoSQL-STM-thread-492,9000.673294067383,0
215,NoSQL-STM-thread-215,9134.542226791382,0
77,NoSQL-STM-thread-77,9247.647285461426,0
694,NoSQL-STM-thread-694,9059.12160873413,0
698,NoSQL-STM-thread-698,9058.36033821106,0
714,NoSQL-STM-thread-714,9055.326461791992,0
32,NoSQL-STM-thread-32,9263.652801513672,0
692,NoSQL-STM-thread-692,9064.584732055664,0
697,NoSQL-STM-thread-697,9062.394380569458,0
43,NoSQL-STM-thread-43,9265.70439338684,0
29,NoSQL-STM-thread-29,9269.219875335693,0
26,NoSQL-STM-thread-26,9270.442485809326,0
696,NoSQL-STM-thread-696,9067.962884902954,0
79,NoSQL-STM-thread-79,9298.908233642578,0
8,NoSQL-STM-thread-8,10187.498569488525,0
720,NoSQL-STM-thread-720,9971.93455696106,0
400,NoSQL-STM-thread-400,10119.599103927612,0
439,NoSQL-STM-thread-439,10130.28883934021,0
763,NoSQL-STM-thread-763,10115.698337554932,0
772,NoSQL-STM-thread-772,10113.968133926392,0
783,NoSQL-STM-thread-783,10112.550258636475,0
776,NoSQL-STM-thread-776,10116.94359779358,0
543,NoSQL-STM-thread-543,10184.738397598267,0
50,NoSQL-STM-thread-50,10354.668617248535,0
646,NoSQL-STM-thread-646,10251.113176345825,0
693,NoSQL-STM-thread-693,10943.355798721313,0
434,NoSQL-STM-thread-434,11028.292417526245,0
829,NoSQL-STM-thread-829,10916.845560073853,0
832,NoSQL-STM-thread-832,10915.755271911621,0
815,NoSQL-STM-thread-815,10921.44799232483,0
775,NoSQL-STM-thread-775,10932.732343673706,0
590,NoSQL-STM-thread-590,11040.408372879028,0
837,NoSQL-STM-thread-837,10988.09552192688,0
38,NoSQL-STM-thread-38,11232.543468475342,0
818,NoSQL-STM-thread-818,10995.596885681152,0
283,NoSQL-STM-thread-283,11143.664360046387,0
834,NoSQL-STM-thread-834,10993.380784988403,0
712,NoSQL-STM-thread-712,11028.95736694336,0
812,NoSQL-STM-thread-812,11021.990537643433,0
886,NoSQL-STM-thread-886,10998.847723007202,0
569,NoSQL-STM-thread-569,11101.099014282227,0
814,NoSQL-STM-thread-814,11031.981229782104,0
598,NoSQL-STM-thread-598,11095.018863677979,0
68,NoSQL-STM-thread-68,11263.49949836731,0
860,NoSQL-STM-thread-860,11055.51528930664,0
596,NoSQL-STM-thread-596,12018.246412277222,0
771,NoSQL-STM-thread-771,12033.102989196777,0
895,NoSQL-STM-thread-895,11995.363235473633,0
299,NoSQL-STM-thread-299,12168.161630630493,0
894,NoSQL-STM-thread-894,11998.194217681885,0
475,NoSQL-STM-thread-475,12123.372316360474,0
813,NoSQL-STM-thread-813,12029.53028678894,0
508,NoSQL-STM-thread-508,12126.704216003418,0
920,NoSQL-STM-thread-920,12007.453441619873,0
942,NoSQL-STM-thread-942,12010.034084320068,0
90,NoSQL-STM-thread-90,12304.553747177124,0
944,NoSQL-STM-thread-944,12041.72945022583,0
935,NoSQL-STM-thread-935,12044.883489608765,0
904,NoSQL-STM-thread-904,12058.313846588135,0
959,NoSQL-STM-thread-959,12866.76549911499,0
947,NoSQL-STM-thread-947,12879.23526763916,0
225,NoSQL-STM-thread-225,13125.82540512085,0
36,NoSQL-STM-thread-36,13200.38104057312,0
911,NoSQL-STM-thread-911,12940.390586853027,0
993,NoSQL-STM-thread-993,12911.916971206665,0
397,NoSQL-STM-thread-397,13092.696905136108,0
24,NoSQL-STM-thread-24,13244.101762771606,0
979,NoSQL-STM-thread-979,12984.57145690918,0
973,NoSQL-STM-thread-973,13014.185905456543,0
31,NoSQL-STM-thread-31,13305.442333221436,0
